,question,classification
0,哪些公司2022年在大灣區有業務及業務規模,數據查詢
1,騰訊控股有限公司在2022年有什麼重大投資事項及規模,數據查詢
2,請簡要介紹騰訊控股有限公司2022年的短債到期情況,數據查詢
3,2022年騰訊研發費用和財務費用分別是多少,數據查詢
4,合併財務報表的編製方法有哪些？,領域概念
5,騰訊2022年的現金比率是多少？,數據分析
6,騰訊2022年的速凍比率是多少？,數據分析
9,請簡要介紹騰訊2022年公司控股股東及實際控制人的情況,數據查詢
10,請簡要介绍騰訊2022年公司高層人士變動情況,數據查詢
11,以上公司跟中銀的關係?,數據查詢
12,以上公司的關係圖譜?,數據查詢
13,請簡介「王氏國際集團有限公司」發展及業務背景資料，回覆字數不多於1000字。,數據查詢
14,請介紹「王氏國際集團有限公司」最近一年的ESG措施，回覆字數不多於1000字。,歸納摘要
15,請列出2022年直接或間接持有「TCL電子控股有限公司」超過10%股權的最終實益擁有人及其持有股權數量。,數據查詢
16,請列出「中電控股有限公司」2022年的合作銀行及其合作業務。,數據查詢
17,請列出「新鴻基地產發展有限公司」2022年的上市附屬公司清單，包括公司名稱、上市地點、持有股權數量。,數據查詢
18,請列出「昆明滇池水務股份有限公司」及其關聯公司截至2022年所涉及的訴訟及法律糾紛資料。,數據查詢
19,請提供「舜宇光學科技（集團）有限公司」2022年的市佔率和排名。,數據查詢
20,請列出2022年持有歐洲及美國銀行資產(包括但不限於存款、股票、債券、基金)的公司名單及其持有的銀行資產。,數據查詢
21,"請列出2022年標準普爾評級在投資級別以上(即AAA, AA+, AA, AA-, A+, A, A-, BBB+, BBB, BBB-)的公司名單。",數據查詢
22,請列出電子行業2022年收入排名前十名的公司。,數據查詢
23,請列出與匯豐銀行有業務合作的公司清單及其合作業務。,數據查詢
24,請列出截至2022年曾出現工業意外的建造業公司名單。,數據查詢
25,過去1個月哪幾間公司發盈利警告或虧損。,數據查詢
26,騰訊控股有限公司 (0700.HK) 2023年第三季度盈利公佈中，網絡廣告收入與去年同季度相比的增長百分比是多少。,數據查詢
27,國泰航空有限公司 (0293.HK) 2023上半年錄得的貨運收益是什麼。,數據查詢
28,恒生銀行有限公司 (0011.HK)在2023年中期業績摘要中，在推動創新方面有甚麼行動。,歸納摘要
29,電訊盈科有限公司 (0008HK) 2022年以什麼為旗艦業務？收益增長為多少?,數據查詢
30,港鐵公司 (00066HK)如何推動理想的企業文化？,歸納摘要
31,滙豐控股有限公司 (0005.HK) 在其2022年年度財務報告中報告的淨收入是多少？,數據查詢
32,友邦保險集團有限公司 (1299.HK) 2022年覆蓋多少個市場?,數據查詢
33,請簡要分析中国联合网络通信股份有限公司的投資工具。,歸納摘要
34,請簡要分析2022年的中国联合网络通信股份有限公司的收入穩定性。,歸納摘要
35,中国联合网络通信股份有限公司的市場地位如何？,歸納摘要
36,政府有什麼政策支持銀行業發展？,歸納摘要
37,請簡要分析中国联合网络通信股份有限公司的收入來源。,數據查詢
38,請簡要分析2022年的中国联合网络通信股份有限公司的客戶集中程度。,數據查詢
39,中国联合网络通信股份有限公司獲取資金的渠道有什麼？,數據查詢
40,中国联合网络通信股份有限公司的還款紀錄如何？,數據查詢
41,請簡要分析2022年的中国联合网络通信股份有限公司的財務資料質素。,歸納摘要
42,中国联合网络通信股份有限公司管理層的管理經驗如何？,歸納摘要
43,2022年影響電信行業毛利率的因素有哪些？,歸納摘要
